cif,frekuensi sal_dplk,frekuensi pos,frekuensi trf,frekuensi antarbank,saldo
9099943773,NULL,NULL,NULL,2,191501.000
9585926000,NULL,5,7,1,546461.000
9311666507,NULL,1,NULL,NULL,1010337.000
9001496591,NULL,3,NULL,1,29670789.000
10238334183,NULL,NULL,1,NULL,53008.000
9215183069,NULL,NULL,2,4,323659.000
9214341940,NULL,1,NULL,NULL,128234248.000
9779682570,NULL,1,NULL,NULL,13050476.000
9657580851,NULL,1,NULL,NULL,5994594.000
9006574138,NULL,3,9,1,17787641.000
9171295327,NULL,NULL,1,2,3636637.000
9060621713,NULL,1,NULL,NULL,30931029.000
9567392927,NULL,1,NULL,NULL,21638861.000
9439585757,NULL,1,NULL,NULL,5625136.000
9683280460,NULL,1,NULL,NULL,19675063.000
9783075479,NULL,NULL,1,NULL,10323130.000
10067797235,NULL,1,NULL,NULL,2698660.000
9066672902,NULL,1,NULL,1,69898696.000
9267012107,NULL,4,3,2,169784556.000
9815644592,NULL,1,NULL,NULL,4964538.000
9855965665,NULL,1,NULL,NULL,164060214.000
9754898680,NULL,1,3,4,96170.000
9066844886,NULL,1,NULL,NULL,4688744.000
9674898063,NULL,1,NULL,NULL,622472.000
9110329313,NULL,2,NULL,NULL,652362.000
9204398729,NULL,1,NULL,NULL,63459823.000
9503819154,NULL,3,NULL,NULL,1564123.000
9404820320,NULL,1,NULL,NULL,2858677.000
9131650073,NULL,3,NULL,1,94457.000
9194940007,NULL,1,NULL,NULL,5419172.000
9270091831,NULL,1,NULL,NULL,6461782.000
9563037410,NULL,1,NULL,NULL,52972870.000
9676885918,NULL,1,3,4,9991592.000
9170528586,NULL,NULL,1,2,49310.000
9307840832,NULL,7,6,1,2519127.000
9851630171,NULL,1,NULL,NULL,128206721.000
9537403662,NULL,1,NULL,NULL,2023288.000
9323981365,NULL,NULL,2,NULL,99988164.000
9106942560,NULL,1,NULL,NULL,327309919.000
9791444284,NULL,1,NULL,NULL,1727548.000
9814015319,NULL,NULL,6,NULL,204811443.000
9658057187,NULL,2,NULL,NULL,172640.000
9190443492,NULL,NULL,1,NULL,37713.000
9291554517,NULL,1,NULL,NULL,7192683.000
9066941248,NULL,1,NULL,NULL,13876527.000
9239987440,NULL,NULL,3,NULL,10208618.000
10111965346,NULL,1,NULL,NULL,0.000
9013284423,NULL,NULL,4,2,7644038.000
9448790389,NULL,2,NULL,NULL,17715553.000
9895434006,NULL,NULL,48,4,4911.000
9777161447,NULL,NULL,NULL,1,204733.000
9754931042,NULL,NULL,5,NULL,398392.000
9826666409,NULL,1,NULL,NULL,1977278.000
9350574316,NULL,1,3,2,2738815.000
9697230235,NULL,1,NULL,1,1258598.000
9666707981,NULL,1,NULL,NULL,0.000
9258444675,NULL,2,NULL,NULL,1473328.000
9815659973,NULL,1,NULL,NULL,68265.000
9003850032,NULL,2,NULL,NULL,373409692.000
9790185401,NULL,1,NULL,NULL,536725.000
9052158756,NULL,1,1,6,1016045.000
9797109099,NULL,1,NULL,NULL,613373.000
9711511006,NULL,1,NULL,NULL,7595197.000
9414725602,NULL,1,NULL,NULL,80028.000
9049180189,NULL,2,NULL,2,271551.000
9413394614,NULL,NULL,2,NULL,12100.000
9014169592,NULL,8,9,5,763446.000
10223504772,NULL,1,NULL,NULL,956400.000
9378145711,NULL,3,17,4,3621509.000
9235632562,NULL,1,NULL,NULL,5960621.000
9474286123,NULL,1,2,16,6932273.000
9751154791,NULL,NULL,1,NULL,0.000
10052507638,NULL,3,4,11,13020502.000
9778373757,NULL,1,NULL,NULL,40639113.000
9273027293,NULL,5,2,1,525921.000
9353295598,NULL,1,NULL,NULL,42701.000
9226101493,NULL,NULL,NULL,1,99059325.000
9296574283,NULL,NULL,NULL,1,220605.000
9893083171,NULL,NULL,6,1,5032.000
9846940480,NULL,1,NULL,NULL,3070234.000
9525968031,NULL,1,NULL,NULL,5415563.000
9006767398,NULL,NULL,3,3,61487049.000
9195201694,NULL,1,NULL,NULL,22370599.000
10236572384,NULL,1,NULL,NULL,68500.000
9094967171,NULL,4,NULL,1,4614007.000
9313983141,NULL,1,NULL,NULL,4833348.000
9433341669,NULL,NULL,1,1,19723839.000
9782589497,NULL,1,NULL,NULL,1568577.000
9222822945,NULL,1,NULL,NULL,1206772.000
9361164621,NULL,13,NULL,7,62105.000
9011122072,NULL,1,NULL,NULL,211396284.000
9148172374,NULL,NULL,5,3,20699664.000
9321373126,NULL,1,NULL,NULL,2489705.000
10210821156,NULL,1,NULL,NULL,3998498.000
9018078263,NULL,1,NULL,NULL,818648.000
9262716825,NULL,1,NULL,NULL,106193.000
9657506650,NULL,NULL,4,NULL,1198909.000
9221953933,NULL,1,NULL,NULL,1544398.000
9336494481,NULL,2,4,6,618738.000
10112054468,NULL,2,NULL,NULL,1674384.000
9665338057,NULL,NULL,3,3,3045485.000
9273433090,NULL,NULL,1,2,15134615.000
9842004172,NULL,1,NULL,NULL,123164.000
9249820411,NULL,NULL,11,1,7946892.000
9848785647,NULL,1,NULL,NULL,542919.000
9043231374,NULL,2,6,1,163856.000
9911757655,NULL,1,NULL,NULL,1456620.000
9184149376,NULL,NULL,NULL,3,18708.000
9241017549,NULL,NULL,1,NULL,35872065.000
10232589982,NULL,1,NULL,NULL,213722.000
9654878219,NULL,1,NULL,NULL,149193.000
9675135132,NULL,NULL,NULL,5,587945.000
9277548086,NULL,NULL,1,NULL,15905642.000
9108683547,NULL,NULL,1,NULL,16834222.000
9509356547,NULL,NULL,NULL,3,27770.000
9168739660,NULL,1,NULL,NULL,68990429.000
10236120758,NULL,1,NULL,NULL,9052734.000
9103361987,NULL,6,4,3,101666805.000
9017883422,NULL,NULL,NULL,5,828721.000
10237785504,NULL,1,NULL,NULL,83000.000
9075639364,NULL,3,1,NULL,160209384.000
9242928448,NULL,NULL,NULL,2,84257.000
9017935486,NULL,1,NULL,NULL,13910859.000
9265612913,NULL,NULL,2,4,700285827.000
10163456984,NULL,1,NULL,NULL,643801.000
9252435721,NULL,NULL,3,2,47928204.000
9276447368,NULL,1,NULL,NULL,7866752.000
9357776067,NULL,1,NULL,NULL,1034017.000
9762607488,NULL,NULL,1,NULL,0.000
9513904872,NULL,1,NULL,NULL,53375043.000
9037586136,NULL,3,1,1,2079633.000
10172008856,NULL,1,NULL,NULL,59684856.000
9263896140,NULL,1,NULL,NULL,4637342.000
9059547148,NULL,12,133,1,13213264.000
9341740519,NULL,1,NULL,NULL,6725722.000
9296991653,NULL,1,NULL,NULL,169733.000
9408080942,NULL,2,3,NULL,0.000
10078542460,NULL,1,NULL,NULL,2669484.000
9473641848,NULL,NULL,NULL,1,5385218.000
10078731180,NULL,1,NULL,NULL,137651.000
9051915988,NULL,1,1,1,24556463.000
10171305029,NULL,1,NULL,NULL,4867706.000
9335696188,NULL,8,21,NULL,21495.000
10236802681,NULL,1,NULL,NULL,1653662.000
9258031263,NULL,1,NULL,NULL,88138398.000
9257352419,NULL,NULL,3,2,1656423.000
9246646526,NULL,NULL,25,1,32106259.000
9043988089,NULL,1,NULL,NULL,42939459.000
9212394806,NULL,6,6,2,6250197.000
9598774108,NULL,1,NULL,NULL,13098500.000
9311843839,NULL,14,11,49,28235.000
9645449536,NULL,1,NULL,NULL,88534888.725
10237819009,NULL,1,NULL,NULL,233800.000
10117094971,NULL,1,NULL,NULL,6157000.000
9378658713,NULL,NULL,3,3,38447786.000
9184799847,NULL,1,NULL,NULL,368707.000
9045995475,NULL,6,10,3,10590828.000
9067699369,NULL,1,NULL,NULL,146726086.000
9385642322,NULL,NULL,1,NULL,0.000
9242308336,NULL,1,NULL,NULL,2768061.000
9716510535,NULL,3,64,3,0.000
9113471500,NULL,2,NULL,1,112883592.000
9054132033,NULL,1,1,2,2224774340.000
9128667163,NULL,NULL,2,2,686742.000
9027159441,NULL,NULL,2,NULL,185643942.000
9188244730,NULL,9,2,3,384168646.000
9316721994,NULL,1,NULL,NULL,1491595.000
9384763810,NULL,1,NULL,NULL,2820395.000
9349087055,NULL,1,NULL,NULL,50505.000
9374364018,NULL,2,4,NULL,1348804.000
9273424910,NULL,NULL,2,2,133777.000
9212719564,NULL,NULL,NULL,1,42028.000
9016349191,NULL,1,NULL,NULL,6204563.000
9678710446,NULL,3,NULL,NULL,12275203.000
9223271801,NULL,1,NULL,NULL,778808.000
9055524368,NULL,1,NULL,NULL,1329297.000
9012073503,NULL,1,3,6,3005549.000
9080112319,NULL,7,5,NULL,200303426.000
9174001799,NULL,1,NULL,NULL,7052107.000
9355819723,NULL,NULL,NULL,1,1871456.000
9245666965,NULL,NULL,NULL,2,53255937.000
9240184748,NULL,2,NULL,NULL,114893647.000
9851159569,NULL,1,NULL,NULL,1722426.000
9187218393,NULL,2,2,8,4327321.000
9162369738,2,1,NULL,NULL,15288.000
9191687263,NULL,6,8,2,13111729.000
9208442640,NULL,1,NULL,NULL,4499781.000
9344994359,NULL,5,2,NULL,15353181.000
9191001259,NULL,2,NULL,NULL,1793287.000
9205798852,NULL,1,2,NULL,739942.000
9796649320,NULL,1,NULL,NULL,9726.000
9557492458,NULL,NULL,10,NULL,18868.000
9918464291,NULL,2,NULL,NULL,27829067.000
9087120281,NULL,1,NULL,NULL,4012475.000
9192609616,NULL,2,NULL,NULL,907051.000
9392014106,NULL,13,6,13,8756063.000
9314023296,NULL,3,NULL,NULL,4005461.000
9144000011,NULL,7,NULL,2,759555.000
9270744865,NULL,4,9,2,1924860.000
9910426518,NULL,1,NULL,NULL,695927.000
9080279991,NULL,NULL,1,4,82094873.000
9585450696,NULL,3,6,19,257673.000
9225341552,NULL,NULL,3,NULL,114401285.000
9221951561,NULL,1,NULL,NULL,30055970.000
9590650492,NULL,1,NULL,NULL,3033571.000
9670286704,NULL,NULL,1,NULL,465274.000
9910302243,NULL,1,NULL,NULL,106353.000
10230405850,NULL,1,NULL,NULL,3434159.000
9019870458,NULL,3,21,NULL,8955529.000
9409941981,NULL,NULL,2,14,6609165.000
9799340792,NULL,NULL,6,6,321968.000
9173692872,NULL,NULL,1,NULL,23208.000
9261311886,NULL,1,NULL,NULL,287544.000
9379097472,NULL,NULL,7,NULL,1596960.000
10224037333,NULL,1,NULL,NULL,273999.000
9313339051,NULL,3,7,7,42517877.000
9356871365,NULL,3,1,7,4298512.000
9079981575,NULL,1,5,6,7855405.000
9229314877,NULL,2,2,NULL,1623228.000
9239878076,NULL,1,NULL,NULL,6507621.000
9995285474,NULL,1,NULL,NULL,685099.000
9040286341,NULL,1,NULL,NULL,27401.000
10039865076,NULL,3,NULL,NULL,1773822.000
9303375822,NULL,1,NULL,NULL,2729055.000
10224172192,NULL,NULL,1,NULL,1721927.000
9809416970,NULL,NULL,2,NULL,0.000
9556376542,NULL,1,NULL,NULL,114273870.000
9162219073,NULL,NULL,4,NULL,113213013.000
9154010625,NULL,NULL,1,1,18424074.000
9804206064,NULL,1,NULL,NULL,673851.000
9603878163,NULL,1,NULL,NULL,4705851.000
9727636189,NULL,1,NULL,NULL,265879486.000
9825916657,NULL,NULL,NULL,1,8443.000
9683302438,NULL,1,NULL,NULL,289913.000
9204519836,NULL,1,NULL,NULL,11702.000
9688524811,NULL,1,NULL,NULL,156879.000
9097990196,NULL,NULL,4,9,11113032.000
10236667495,NULL,NULL,1,NULL,1435528.000
9237381853,NULL,NULL,NULL,11,7724978.000
9854356340,NULL,1,NULL,NULL,1144483.000
9375224566,NULL,2,NULL,1,10412574.000
10162097878,NULL,1,NULL,NULL,4067.000
10049428707,NULL,NULL,3,NULL,3718188.000
9170156990,NULL,2,NULL,NULL,10865771.000
9660442588,NULL,2,NULL,NULL,8989895.000
9485115739,NULL,1,NULL,NULL,5804530.000
9412173159,NULL,NULL,3,1,5566.000
9911743944,NULL,1,NULL,NULL,647778.000
9175384109,NULL,3,10,2,9433551.000
9029361226,NULL,NULL,8,NULL,0.000
9356362629,NULL,NULL,1,NULL,37860.000
9654771744,NULL,4,5,4,2678530.000
9657460166,NULL,1,NULL,NULL,1984047.000
9391121532,NULL,1,NULL,NULL,89811.000
9066088655,NULL,1,NULL,NULL,15227814.000
9816968122,NULL,1,NULL,NULL,10302.000
9155764725,NULL,NULL,6,13,172541722.000
9199509018,NULL,NULL,NULL,3,45292230.000
9526022557,NULL,NULL,2,NULL,8650264.000
9217131659,NULL,NULL,13,6,26776184.000
9184625756,NULL,1,5,1,513958.000
9501434087,NULL,1,NULL,1,13503.000
9442760024,NULL,1,NULL,NULL,8577257.000
10195508638,NULL,1,NULL,NULL,576107.000
10237646688,NULL,1,NULL,NULL,3734608.000
10236734791,NULL,1,NULL,NULL,194000.000
9813992392,NULL,1,NULL,NULL,48206.000
9022724855,NULL,NULL,3,NULL,267868396.000
9256928781,NULL,NULL,1,1,18303233.000
9031410922,NULL,NULL,NULL,1,5189838.000
9355402043,NULL,1,NULL,NULL,0.000
9547150390,NULL,3,3,NULL,210406393.000
9099195804,NULL,2,NULL,NULL,72296306.000
9167724860,NULL,NULL,4,NULL,5075718.000
9069748699,NULL,1,NULL,NULL,2439712.000
9120857071,NULL,1,NULL,1,89449727.000
9392303353,NULL,2,NULL,NULL,18657216.000
9891257145,NULL,1,NULL,NULL,1107157.000
10080976135,NULL,1,NULL,NULL,201897.000
9291624440,NULL,NULL,NULL,3,36896.000
9856572932,NULL,11,NULL,NULL,2549452.000
9220420035,NULL,NULL,3,2,2888273.000
9807562560,NULL,1,NULL,NULL,926300.000
9063715165,NULL,1,NULL,NULL,1526625725.000
9216174029,NULL,NULL,4,NULL,544058405.000
9036640569,NULL,NULL,2,3,8214728.000
10138598417,NULL,1,NULL,NULL,4079752.000
9847522860,NULL,1,NULL,NULL,149733.000
9143065969,NULL,1,3,NULL,66807.000
9296678043,NULL,1,NULL,NULL,6342905.000
9762243803,NULL,NULL,NULL,1,0.000
9660704050,NULL,1,NULL,NULL,41242.000
9784963185,NULL,1,NULL,1,260981.000
9176514600,NULL,18,14,4,2766522.000
9005187611,NULL,NULL,1,1,62628.000
9419791431,NULL,NULL,5,2,20615559.000
9386899335,NULL,2,1,NULL,508840.000
9019774753,NULL,NULL,2,4,78644520.000
9076142439,NULL,1,NULL,NULL,6871221.000
9324101306,NULL,NULL,1,NULL,2111808.000
9510704063,NULL,1,NULL,NULL,1336151.000
9177920127,NULL,NULL,NULL,2,116917196.000
9002019157,NULL,NULL,1,NULL,8437089.000
9122500885,NULL,NULL,2,NULL,2149198.000
9012336176,NULL,2,NULL,NULL,3664065.000
9337022425,NULL,6,1,3,3775595.000
9810643410,NULL,1,8,17,2124.000
9147849275,NULL,NULL,1,NULL,725737.000
9538679370,NULL,NULL,2,1,296482639.000
9927294686,NULL,1,NULL,NULL,202500.000
9222252813,NULL,1,NULL,NULL,2600.000
9134409627,NULL,5,NULL,NULL,10732730.000
9576251748,NULL,1,NULL,NULL,35016.000
9392057085,NULL,NULL,2,1,1977280.000
9348824416,NULL,1,NULL,NULL,13578629.000
9847420010,NULL,1,NULL,NULL,24747713.000
9111810570,NULL,NULL,1,NULL,29869365.000
9409997551,NULL,3,1,6,12373761.000
9526437328,NULL,3,NULL,NULL,3765442.000
10082739330,NULL,1,NULL,NULL,1476481.000
9241863717,NULL,1,NULL,NULL,7522845.000
9063129584,NULL,3,NULL,2,151307.000
9217980266,NULL,NULL,5,5,26959.000
9422533258,NULL,2,NULL,NULL,10375.000
9312559665,NULL,NULL,NULL,2,5932663.000
9137797515,NULL,NULL,2,NULL,1022319.000
9537773736,NULL,1,NULL,NULL,30045.000
9280737356,NULL,NULL,5,6,0.000
9845255851,NULL,NULL,10,1,711578.000
9351417462,NULL,NULL,NULL,1,97715.000
9191544302,NULL,1,NULL,NULL,439587.000
9567723984,NULL,1,NULL,NULL,8174520.000
9794628559,NULL,1,NULL,NULL,736890.000
10107023421,NULL,3,NULL,NULL,162957.000
9059505218,NULL,2,2,NULL,19285167.000
9846200334,NULL,1,NULL,NULL,184142.000
10223833054,NULL,3,NULL,NULL,16999.000
9206881543,NULL,NULL,NULL,1,28698.000
9064679787,NULL,NULL,9,4,12884085.000
10052411337,NULL,1,NULL,NULL,6517828.000
9315871130,NULL,NULL,NULL,2,251477.000
9391122778,NULL,2,NULL,NULL,7643307.000
9204338118,NULL,1,NULL,NULL,36833626.000
10164911344,NULL,4,NULL,NULL,7199.000
10238672468,NULL,NULL,1,NULL,498500.000
9173453481,NULL,1,NULL,NULL,32421293.000
9681017377,NULL,2,NULL,2,39390280.000
9695668617,NULL,1,NULL,NULL,2623444.000
9442340215,NULL,NULL,NULL,1,163228676.000
9078421365,NULL,NULL,5,NULL,208993091.000
9279744019,NULL,1,NULL,NULL,41042914.000
9176963737,NULL,1,NULL,NULL,3194756.000
9632450797,NULL,NULL,1,NULL,0.000
9248800803,NULL,1,NULL,NULL,3366328.000
10236173380,NULL,1,NULL,NULL,105600.000
10236703930,NULL,1,NULL,NULL,410012.000
9301327884,NULL,5,2,1,172634.000
9033567477,NULL,3,5,5,168090716.000
9427701767,NULL,1,NULL,NULL,8842274.000
9346222379,NULL,1,NULL,NULL,164157.000
9800409640,NULL,2,NULL,NULL,83590.000
10156448124,NULL,1,NULL,NULL,588812.000
9656869201,NULL,3,NULL,NULL,201777.000
9237288753,NULL,1,NULL,NULL,2424911.000
9835315340,NULL,NULL,1,NULL,821924.000
9669741333,NULL,1,NULL,NULL,98055.000
9747250854,NULL,1,18,3,716456.000
9756181087,NULL,NULL,NULL,2,87810738.000
9323344564,NULL,35,90,6,0.000
9354374921,NULL,NULL,7,7,1444844.000
9378227472,NULL,1,NULL,NULL,4789996.000
9805731759,NULL,1,NULL,NULL,1687354.000
9394569687,NULL,1,1,NULL,59037666.000
9294883754,NULL,1,1,NULL,63356.000
9339224075,NULL,1,NULL,NULL,14881570.000
10232596337,NULL,NULL,1,NULL,1906825.000
9336285363,NULL,3,4,NULL,160770.000
9221175712,NULL,NULL,NULL,7,430172056.000
9377986983,NULL,1,NULL,NULL,2045287.000
9919815402,NULL,NULL,3,4,21969014.000
9073346339,NULL,NULL,NULL,1,26908220.000
10162637059,NULL,1,NULL,NULL,10681430.000
9262713102,NULL,NULL,NULL,1,498423.000
9187380132,NULL,1,NULL,NULL,0.000
9172456914,NULL,4,45,NULL,1055077.000
9761462083,NULL,1,NULL,NULL,292043.000
9642093854,NULL,1,NULL,NULL,41042.000
9443847235,NULL,1,NULL,NULL,7281.000
9235879851,NULL,NULL,NULL,4,59275864.000
9693042141,NULL,2,NULL,NULL,96507431.000
9858472216,NULL,1,NULL,NULL,1432529.000
9305866326,NULL,1,NULL,NULL,15357423.000
9185392976,NULL,1,22,6,7840776.000
9295685445,NULL,4,7,3,49206941.000
9409490732,NULL,2,NULL,2,8301044.000
9278890231,NULL,2,NULL,NULL,30527486.000
9036182969,NULL,1,NULL,NULL,2260462.000
9297034325,NULL,1,NULL,NULL,4844445.000
9759944576,NULL,1,NULL,NULL,6656426.000
9456653581,NULL,1,NULL,NULL,43488.000
9656780288,NULL,1,NULL,NULL,1820860.000
10137182130,NULL,1,NULL,NULL,2505474.000
9167280121,NULL,2,2,1,1885994.000
9299827773,NULL,1,NULL,1,15188.000
9070810617,NULL,2,1,2,7622556.000
9850111851,NULL,2,NULL,NULL,5036.000
9187820189,NULL,3,10,1,16065024.000
9145340088,NULL,5,8,2,14244820.000
9059153085,NULL,1,NULL,NULL,2915722.000
9002526944,NULL,1,NULL,NULL,111315.000
9093994036,NULL,NULL,10,5,732682.000
9173244660,NULL,1,NULL,NULL,34125765.000
9762194470,NULL,2,NULL,3,86095.000
10236437811,NULL,1,NULL,NULL,953500.000
9000684811,NULL,1,3,2,225731.000
9567086612,NULL,1,NULL,NULL,779571.000
9661122976,NULL,1,16,NULL,0.000
9367704572,NULL,1,NULL,NULL,234593.000
9315952503,NULL,3,15,1,115885.000
9375464746,NULL,5,NULL,6,3143191.000
9044090003,NULL,NULL,NULL,5,1556836.000
9178133953,NULL,5,1,NULL,13271953.000
9028845555,NULL,NULL,10,NULL,1337614.000
9305158591,NULL,3,22,3,14944.000
10239788379,NULL,NULL,1,NULL,238000.000
9455416811,NULL,1,NULL,NULL,10008459.000
9678780304,NULL,2,1,NULL,61292716.000
9193437919,NULL,NULL,3,NULL,95079108.000
9784904172,NULL,1,NULL,NULL,1541033.000
10106991823,NULL,1,NULL,NULL,26389.000
9567036224,NULL,6,31,8,26011.000
9390238736,NULL,NULL,2,NULL,98578.000
9851969249,NULL,NULL,NULL,6,170544.000
9078805037,NULL,1,NULL,NULL,265637.000
9097181463,NULL,NULL,1,NULL,376256.000
9074180841,NULL,1,5,4,78423790.000
9286385610,NULL,1,1,NULL,55186459.000
10191261685,NULL,1,NULL,NULL,41903944.000
9375369418,NULL,1,NULL,NULL,100687.000
9571321970,NULL,1,NULL,NULL,62616.000
9804885767,NULL,1,NULL,NULL,931210.000
9228752433,NULL,1,NULL,NULL,3176764.000
9374689996,NULL,5,1,3,30034139.000
9232285162,NULL,NULL,4,1,3821288.000
9351282532,NULL,2,NULL,NULL,348645.000
9258497377,NULL,NULL,NULL,1,1009402.000
9204955199,NULL,2,NULL,NULL,2136098.000
9772187215,NULL,2,NULL,1,14560495.000
9689901261,NULL,NULL,NULL,1,80502.000
9771888682,NULL,1,NULL,NULL,5339.000
9601808002,NULL,1,NULL,NULL,1065951.000
9341545253,NULL,1,NULL,NULL,136525827.000
9407971644,NULL,1,NULL,NULL,55529.000
9119423371,NULL,5,1,5,506188.000
9009029346,NULL,NULL,1,1,7734.000
9082493618,NULL,NULL,NULL,1,5368.000
9302911089,NULL,NULL,NULL,1,136669.000
9352787521,NULL,1,NULL,NULL,1562172.000
9385428187,NULL,1,NULL,NULL,12739516.000
9442451828,NULL,1,9,NULL,444500.000
9117865593,NULL,NULL,2,1,48032204.000
9175386622,NULL,NULL,NULL,1,45962109.000
9149408570,NULL,NULL,NULL,7,1323076.000
9763793575,NULL,16,7,4,389267.000
9344586722,NULL,NULL,NULL,6,6844.000
9537751415,NULL,NULL,4,NULL,288215.000
9080122371,NULL,NULL,1,NULL,37491.000
9414177554,NULL,NULL,8,NULL,346917.000
9552606379,NULL,1,1,NULL,2530.000
9259876488,NULL,NULL,8,4,96064.000
9095088040,NULL,NULL,NULL,2,22650614.000
9360025871,NULL,NULL,2,5,8477686.000
9478763894,NULL,NULL,2,NULL,299758.000
9389088016,NULL,NULL,3,NULL,65029765.000
9449356082,NULL,1,NULL,NULL,17164.000
9300047725,NULL,1,NULL,NULL,7003050.000
9261863578,NULL,NULL,1,NULL,0.000
9143174110,NULL,1,1,NULL,21875.000
9288041962,NULL,1,NULL,NULL,227234973.000
9080135981,NULL,1,1,NULL,63653471.000
10222862650,NULL,1,NULL,NULL,22076259.000
9543674898,NULL,1,NULL,NULL,192075.000
